City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Takoradi,GH,79.52,overcast clouds,4.8845,-1.7554,Raybow International Hotel
10,Rikitea,PF,78.76,light rain,-23.1203,-134.9692,Pension Maro'i
14,Pontian Kecil,MY,78.01,few clouds,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
16,Namatanai,PG,82.83,overcast clouds,-3.6667,152.4333,Namatanai Hotel
17,Sao Joao Da Barra,BR,76.12,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
22,Georgetown,MY,81.0,few clouds,5.4112,100.3354,Cititel Penang
23,Saint-Philippe,RE,78.8,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
24,Inhambane,MZ,77.9,overcast clouds,-23.865,35.3833,Oceano
29,Atuona,PF,79.45,light rain,-9.8,-139.0333,Villa Enata
31,Acapulco,MX,84.2,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
33,Cabo San Lucas,MX,80.6,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
39,Carnarvon,AU,80.6,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
41,Kirakira,SB,83.91,overcast clouds,-10.4544,161.9205,SanBiz Lodge
47,Puerto Ayora,EC,77.0,broken clouds,-0.7393,-90.3518,Castillo Galapagos
50,Bengkulu,ID,78.51,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
52,New Norfolk,AU,75.99,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
53,Labuhan,ID,81.19,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
60,Hilo,US,78.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
61,Hobart,AU,78.01,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
62,Jacqueville,CI,77.0,few clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
68,Morant Bay,JM,80.6,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
69,Faanui,PF,81.39,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
71,Arraial Do Cabo,BR,75.54,moderate rain,-22.9661,-42.0278,Pousada Porto Praia
