City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Xinmin,CN,41.9908,122.8253,26.6,86,24,4.47,mist
1,Gat,IL,31.61,34.7642,57.99,100,58,3.27,broken clouds
2,Castro,BR,-24.7911,-50.0119,60.55,58,0,3.33,clear sky
3,Norman Wells,CA,65.282,-126.8329,-29.2,68,20,4.61,few clouds
4,Nikolskoye,RU,59.7035,30.7861,10.0,78,75,11.18,light snow
5,Takoradi,GH,4.8845,-1.7554,79.52,88,100,6.8,overcast clouds
6,Ponta Do Sol,PT,32.6667,-17.1,51.01,69,52,5.99,broken clouds
7,Hamilton,US,39.1834,-84.5333,35.6,51,40,8.05,scattered clouds
8,Kaitangata,NZ,-46.2817,169.8464,62.01,71,91,8.01,overcast clouds
9,Khatanga,RU,71.9667,102.5,-34.22,78,4,7.09,clear sky
10,Rikitea,PF,-23.1203,-134.9692,78.76,70,11,12.75,light rain
11,Ushuaia,AR,-54.8,-68.3,46.4,76,75,26.46,broken clouds
12,Barrow,US,71.2906,-156.7887,-9.4,70,20,11.5,mist
13,Narsaq,GL,60.9167,-46.05,17.6,45,0,3.44,clear sky
14,Pontian Kecil,MY,1.4801,103.3899,78.01,88,20,3.44,few clouds
15,Bredasdorp,ZA,-34.5322,20.0403,60.8,94,0,1.14,clear sky
16,Namatanai,PG,-3.6667,152.4333,82.83,70,96,4.79,overcast clouds
17,Sao Joao Da Barra,BR,-21.6403,-41.0511,76.12,93,100,7.92,overcast clouds
18,Hermanus,ZA,-34.4187,19.2345,66.99,88,4,1.99,clear sky
19,Busselton,AU,-33.65,115.3333,64.0,73,100,5.01,overcast clouds
20,Cape Town,ZA,-33.9258,18.4232,69.01,88,0,17.27,clear sky
21,Colac,AU,-38.3333,143.5833,64.0,1,86,5.99,overcast clouds
22,Georgetown,MY,5.4112,100.3354,81.0,83,20,6.02,few clouds
23,Saint-Philippe,RE,-21.3585,55.7679,78.8,65,0,6.91,light rain
24,Inhambane,MZ,-23.865,35.3833,77.9,87,90,6.71,overcast clouds
25,Albany,US,42.6001,-73.9662,37.0,69,9,5.97,clear sky
26,Saskylakh,RU,71.9167,114.0833,-31.31,83,78,5.37,broken clouds
27,Beringovskiy,RU,63.05,179.3167,-5.06,88,100,7.27,overcast clouds
28,Lodja,CD,-3.4833,23.4333,71.15,97,100,2.17,light rain
29,Atuona,PF,-9.8,-139.0333,79.45,81,40,17.83,light rain
30,Dunedin,NZ,-45.8742,170.5036,61.0,71,32,25.99,scattered clouds
31,Acapulco,MX,16.8634,-99.8901,84.2,61,40,4.61,scattered clouds
32,Olovyannaya,RU,50.95,115.5667,-10.3,87,0,3.56,clear sky
33,Cabo San Lucas,MX,22.8909,-109.9124,80.6,36,20,3.44,few clouds
34,Nemuro,JP,43.3236,145.575,26.6,86,75,2.3,broken clouds
35,Acari,PE,-15.4311,-74.6158,71.74,71,100,4.21,light rain
